"intexts","Freq"
"anus",10
"anxiety",359
"anxious",225
"anxiously",47
"any",16510
"anya",18
"anybody",709
"anyday",8
"anyhow",84
"anymore",1231
"anyone",4629
"anyplace",11
"anything",5838
"anytime",330
"anyway",2017
"anyways",260
"anywhere",892
"ao",20
"aoili",3
"aoki",21
"aol",65
"ap",644
"apa",16
"apache",52
"apart",1024
"apartment",971
"apartments",204
"apc",4
"ape",49
"apes",49
"apex",33
"api",52
"apis",16
"apocalypse",78
"apocalyptic",69
"apollo",87
"apologies",182
"apologist",12
"apologize",289
"apologized",124
"apologizes",23
"apology",184
"apostrophe",10
"app",842
"appalachian",30
"appalled",34
"appalling",57
"apparel",122
"apparent",395
"apparently",1490
"appeal",758
"appealed",120
"appealing",235
"appeals",354
"appear",1116
"appearance",742
"appearances",268
"appeared",1154
"appearing",215
"appears",1120
"appendix",27
"appetite",138
"appetizer",94
"appetizers",126
"applaud",64
"applause",147
"apple",1427
"applebees",3
"apples",280
"appletv",3
"appliance",51
"appliances",96
"applicable",63
"applicants",148
"application",691
"applications",443
"applied",499
"applies",202
"apply",791
"applying",220
"appointed",403
"appointment",509
"appointments",200
"appraisal",51
"appreciate",1087
"appreciated",369
"appreciates",62
"appreciating",22
"appreciation",272
"appreciative",62
"appreicate",3
"apprentice",59
"approach",1274
"approached",372
"approaches",204
"approaching",285
"appropriate",781
"appropriately",114
"appropriations",62
"approval",602
"approve",332
"approved",961
"approves",47
"approx",54
"approximately",410
"apps",358
"appstore",3
"appt",41
"apr",60
"apricot",55
"april",4105
"aprilfools",3
"apron",49
"apropos",12
"apt",113
"apts",5
"apu",7
"apush",3
"aqua",64
"aquarium",86
"aquarius",16
"aquinas",9
"ar",47
"arab",280
"arabia",112
"arabic",108
"arabs",50
"arbitrary",46
"arbitration",86
"arbitrator",25
"arbor",81
"arboretum",36
"arby",5
"arbys",3
"arc",173
"arcade",79
"arcadia",38
"arcane",38
"arch",159
"archaeology",35
"archaic",22
"archer",52
"archery",44
"arches",43
"archie",35
"architect",211
"architects",123
"architectural",143
"architecture",306
"archival",54
"archive",106
"archived",23
"archives",192
"archiving",11
"archivist",25
"archivists",14
"arcs",26
"arctic",97
